id	chave	autores	titulo	ano	veiculo	link	area	tema	veredito	motivo
RF092	tan1995adaptive	Ah-hwee Tan	Adaptive resonance associative map	1995	National University of Singapore / Singapore Management University	https://doi.org/10.1016/0893-6080(94)00092-z	Ciência da Computação	Teoria da Ressonância Adaptativa (ART), aprendizado heteroassociativo, auto-organização, estabilização de código	redundante	A estabilização de código sob aprendizado rápido é o dilema estabilidade-plasticidade da ART, que já está no livro via grossberg1987competitive (citada no cap. 17, a partilha certa que não é a igualitária nem a extrema) e grossberg2020path (citada no cap. 19, o degrau de saída em que todos caem de uma vez); o mapa heteroassociativo ARTMAP não acrescenta afirmação medível nova a capítulo existente — na dúvida, redundante.
RF094	fairchild2021families	Samantha Fairchild, Max Goering, Christian Weiß	FAMILIES OF WELL APPROXIMABLE MEASURES	2021	University of Washington, Ruhr West University of Applied Sciences	https://doi.org/10.2478/udt-2021-0003	Probabilidade e Estatística	Teoria da distribuição uniforme, discrepância estelar, variação total, medidas de Borel	redundante	A aproximação da lei pela frequência amostral (com erro controlado) já vive no cap. 1 via kolmogorov1933grundbegriffe e a proposição própria da barra. Famílias de medidas bem aproximáveis em discrepância estelar/variação total refinam taxas de convergência que nenhum capítulo afirma. Dúvida declarada: a taxa uniforme no pior conjunto seria afirmação nova, mas nenhum degrau do §4 a pede — na dúvida, redundante.
RF095	lin2026sklar	Yi-Yu Lin	Sklar's Theorem and Quantum State Reconstruction from All-Context Dependence	2026	Fudan University, Shanghai Institute for Mathematics and Interdisciplinary Sciences (SIMIS)	https://arxiv.org/abs/2609.08035	Probabilidade e Estatística	Teorema de Sklar, reconstrução de estado quântico, discordância quântica global, entropia de cópula	redundante	O Sklar/cópula que interessa ao livro já é degrau citado via ansari2021sklar (caps. 8 e 15, 'a cópula que se dispensa'); a reconstrução de estado quântico é fora do mapa.
RF096	yan2026reconsidering	Zhanglu Yan, Zhenyu Bai, Kaiwen Tang, Weng-Fai Wong	Reconsidering the Energy Efficiency of Spiking Neural Networks Inference from Analytical Perspectives	2026	National University of Singapore (NUS)	https://doi.org/10.1109/tcad.2026.3718799	Ciência da Computação	Redes Neurais de Spikes (SNN), Redes Neurais Quantizadas (QNN), eficiência energética, movimentação de dados	fora-de-escopo	Eficiência energética analítica de inferência SNN vs. QNN (movimentação de dados): benchmark de hardware. O contato do livro com o custo físico da informação já entra por landauer1961irreversibilidade, e o teto dos bits do cap. 32 é informacional, não joules por operação.
RF099	rivasplata2020bayes	Omar Rivasplata, Ilja Kuzborskij, Csaba Szepesvári, John Shawe-Taylor	PAC-Bayes Analysis Beyond the Usual Bounds	2020	University College London, DeepMind, Amii	https://arxiv.org/abs/2006.13057	Probabilidade e Estatística	Inferência Bayesiana, desigualdade PAC-Bayes, limites de generalização, prioris Gibbs dependentes de dados	fora-de-escopo	Refinamentos de limites PAC-Bayes com prioris de Gibbs dependentes de dados; verificado nos capítulos: nenhuma citação usa PAC-Bayes, prioris sobre preditores ou limites de generalização dessa forma — teoria sem objeto no mapa.
RF100	black2024training	Kevin Black, Michael Janner, Yilun Du, Ilya Kostrikov, Sergey Levine	Training Diffusion Models with Reinforcement Learning	2024	University of California, Berkeley; MIT	https://arxiv.org/abs/2305.13301	Ciência da Computação	Modelos de difusão, aprendizado por reforço (RL), alinhamento prompt-imagem	fora-de-escopo	Treinar modelos de difusão com reforço para alinhamento prompt-imagem é síntese generativa de imagem de ponta a ponta — o exemplo dado no enunciado de tema que o mapa não toca; nenhum capítulo gera, amostra por difusão ou treina por reforço um gerador.
RF101	choi2023generative	J. Choi, J. Choi, M. Kang	Generative modeling through the semi-dual formulation of unbalanced optimal transport	2023	Seoul National University	https://doi.org/10.52202/075280-1840	Matemática	Transporte Ótimo Desbalanceado (UOT), Formulação Semi-dual, Divergência Csiszàr	fora-de-escopo	Treino de modelos generativos via transporte desbalanceado (UOT semi-dual, divergência de Csiszár) é método de estimação generativa; o livro compara leis normalizadas (geometria já carregada por wasserstein2016statement) e suas famílias geradoras são famílias de cauda (cap. 12), não samplers a treinar.
RF102	mokrov2021large	P. Mokrov, A. Korotin, L. Li, A. Genevay, J. M. Solomon, E. Burnaev	Large-scale wasserstein gradient flows	2021	Skolkovo Institute of Science and Technology, MIT	https://proceedings.neurips.cc/paper/2021/hash/810dfbbebb17302018ae903e9cb7a483-Abstract.html	Matemática	Fluxo de Gradiente Wasserstein, Esquema JKO, Redes Neurais Convexas de Entrada (ICNN)	fora-de-escopo	Método numérico (redes convexas de entrada) para escalar fluxos gradiente de Wasserstein e o esquema JKO. Nenhum degrau do mapa carrega fluxo em espaço de medidas, energia de dissipação ou transporte como instrumento — a técnica de escoamento era do projeto anterior (.old), que o §10 declara pedreira, não roteiro.
RF103	choi2024scalable	Jaemoo Choi, Jaewoong Choi, Myungjoo Kang	Scalable Wasserstein Gradient Flow for Generative Modeling through Unbalanced Optimal Transport	2024	Seoul National University, Korea Institute for Advanced Study	https://proceedings.mlr.press/v235/choi24a.html	Matemática	Fluxo de Gradiente Wasserstein (WGF), Esquema JKO, Transporte Ótimo Desbalanceado (UOT), Divergência f, Divergência KL	fora-de-escopo	Fluxo de gradiente Wasserstein, esquema JKO e transporte desbalanceado são maquinário de otimização em espaço de medidas, sem degrau no mapa: nenhum dos 33 capítulos carrega fluxo ou transporte. A distância de Wasserstein, quando o livro a usa, já está citada via wasserstein2016statement (cap. 9); o alvo declarado da fonte é modelagem generativa, como em RF071.
RF104	luxburg2008statistical	Ulrike von Luxburg, Bernhard Schölkopf	Statistical Learning Theory: Models, Concepts, and Results	2008	Max Planck Institute for Biological Cybernetics	https://arxiv.org/abs/0810.4752	Ciência da Computação	Aprendizado supervisionado, capacidade do modelo, generalização, erro de aproximação, erro de estimação, consistência universal, dimensão VC, complexidade de Ra	redundante	Survey de teoria de aprendizado estatístico (dimensão VC, erro de aproximação vs. estimação, consistência universal) não carrega afirmação nova medível; os tetos do livro já estão medidos e ancorados via dambre2012information (cap. 29), paninski2003estimation (cap. 11) e landauer1961irreversibility (cap. 32).
RF107	vapnik2026vapnik	Vladimir Vapnik, Alexey Chervonenkis	Vapnik–Chervonenkis dimension	2026	—	https://encyclopediaofmath.org/wiki/Vapnik-Chervonenkis_dimension	Ciência da Computação	Dimensão VC, capacidade de modelos de classificação, estilhaçamento (shattering), sobreajuste (overfitting), complexidade de amostra	baixo-valor	Registro com veículo em branco, título de verbete de conceito e ano impossível (2026 para Vapnik–Chervonenkis; a obra original é 1971): é entrada de enciclopédia raspada, qualidade insuficiente para o registro do livro. A capacidade que o livro mede (teto por número de estados) já tem portador citado (dambre2012information); se a dimensão VC um dia entrar, entra pelo original ou por livro-texto.
RF113	kanagawa2018gaussian	Motonobu Kanagawa, Philipp Hennig, Dino Sejdinovic, Bharath K. Sriperumbudur	Gaussian Processes and Kernel Methods: A Review on Connections and Equivalences	2018	University of Tübingen; Max Planck Institute for Intelligent Systems; University of Oxford; Pennsylvania State University	https://arxiv.org/abs/1807.02582	Ciência da Computação	Processos Gaussianos, Métodos de Kernel, Espaços de Hilbert de Núcleo Reprodutor (RKHS), Inferência Bayesiana, Teoria de Regularização	fora-de-escopo	Revisão de equivalências metodológicas sem afirmação mensurável nova para nenhum degrau: o kernel que o livro usa entra por pfister2018kernel (cap. 8) e o ajuste de família local é de Dahlhaus (cap. 14, cinco chaves citadas); GPs não são instrumento do mapa.
RF114	bernstein2022kernel	Jeremy Bernstein, Alex Farhang, Yisong Yue	Kernel Interpolation as a Bayes Point Machine	2022	Caltech	https://arxiv.org/abs/2110.04274	Ciência da Computação	Interpolação de kernel, Máquina de Ponto de Bayes (BPM), Processos Gaussianos, Redes Neurais de largura infinita, PAC-Bayes	fora-de-escopo	Interpolação por kernel como máquina de ponto de Bayes (PAC-Bayes, largura infinita): teoria de regressão estática sob lei fixa. O readout fora da amostra do cap. 29 já é medido com instrumento próprio, e o livro não usa família de garantia PAC-Bayes em degrau nenhum.
RF119	wybo2017green	Willem Anna Mark Wybo	Using the Green's function to simplify and understand dendrites	2017	EPFL (École Polytechnique Fédérale de Lausanne)	https://doi.org/10.5075/epfl-thesis-7869	Ciência da Computação	Redes neurais, computação dendrítica, hipótese de subunidade, integração não linear	fora-de-escopo	Biofísica de dendritos: função de Green do cabo, hipótese de subunidade, integração não linear em neurociência. O núcleo de resposta que o livro usa é construído e medido nos próprios cadernos (caps. 16 e 30); o objeto dendrite não é afirmação mensurável de capítulo nenhum do mapa.
RF127	lad2015extropy	Frank Lad, Giuseppe Sanfilippo, Gianna Agrò	Extropy: Complementary Dual of Entropy	2015	University of Canterbury (NZ), University of Palermo (Italy)	https://doi.org/10.1214/14-sts430	Probabilidade e Estatística	Teoria da informação, entropia de Shannon, extropia, incerteza distributiva, divergência de Kullback-Leibler.	fora-de-escopo	Extropia como dual complementar da entropia mede incerteza de uma distribuição; o teto dos bits do cap. 32 (lido) é memória de esboço — K=2/ε² contadores via alon1999space/indyk2005optimal/woodruff2004optimal, com chão físico de Landauer — e a dualidade não carrega afirmação mensurável para objeto algum do mapa; seria enfeite.
RF129	girolamo2025mocap	Macaluso Girolamo, Mandelli Lorenzo, Mirko Bicchierai, Stefano Berretti, Andrew D. Bagdanov	No MoCap Needed: Post-Training Motion Diffusion Models with Reinforcement Learning using Only Textual Prompts	2025	University of Florence	https://doi.org/10.1109/wacv61042.2026.00101	Ciência da Computação	Modelos de difusão de movimento, aprendizado por reforço (RL), alinhamento semântico, geração de movimento 3D	fora-de-escopo	Pós-treino de modelos de difusão de movimento 3D com RL a partir de prompts textuais — geração de movimento/visão computacional sem nenhum contato com medir, garantir ou otimizar quando a lei do mundo muda; o mapa não tem capítulo de geração nem de locomoção.
RF132	ren2024diffusion	Allen Z. Ren, Justin Lidard, Lars L. Ankile, Anthony Simeonov, Pulkit Agrawal, Anirudha Majumdar, Benjamin Burchfiel, Hongkai Dai, Max Simchowitz	Diffusion Policy Policy Optimization	2024	Princeton University; Massachusetts Institute of Technology; Toyota Research Institute; Carnegie Mellon University	https://arxiv.org/abs/2409.00588	Ciência da Computação	Modelos de Difusão, Aprendizado por Reforço (RL), Gradiente de Política (PG), ajuste fino (fine-tuning)	fora-de-escopo	Política de difusão com otimização por gradiente de política para robótica de manipulação: dois exemplos nomeados de fora-de-escopo (modelo generativo de difusão e robótica) ao mesmo tempo, sem contacto com medida, alarme, cauda ou memória do livro.
RF133	mcclelland2013incorporating	James L McClelland	Incorporating rapid neocortical learning of new schema-consistent information into complementary learning systems theory	2013	Stanford University	https://doi.org/10.1037/a0033812	Ciência da Computação	Sistemas de aprendizagem complementares, redes neurais artificiais, interferência catastrófica, plasticidade neocortical	redundante	O dilema estabilidade–plasticidade e a partilha entre lojas de escalas diferentes já estão no livro via grossberg1987competitive (citado no cap. 17 em 'a partilha certa não é a igualitária nem a extrema') e grossberg2020path (cap. 19); e a alegação de que o custo de aprender depende da forma do mundo é o próprio achado do cap. 14 (janela ótima por forma de mundo). Dúvida declarada: consolidação intercalada (replay) é mecanismo que o livro não testa, mas o que li da fonte não me permite afirmar uma alegação medível nova e distinta — na dúvida entre expande e redundante, redundante.
RF134	amit2022integral	Ron Amit, Baruch Epstein, Shay Moran, Ron Meir	Integral Probability Metrics PAC-Bayes Bounds	2022	Technion - Israel Institute of Technology; Google Research	https://doi.org/10.52202/068431-0226	Probabilidade e Estatística	Teoria PAC-Bayes, Métricas de Probabilidade Integral (IPM), divergência KL, generalização	fora-de-escopo	Limites PAC-Bayes com métricas de probabilidade integral: nenhum dos 33 degraus carrega teoria de limites de generalização — o preço de aprender no livro é medido (posto no cap. 29, bits no cap. 32, replicatas no cap. 16); nota: wasserstein2016statement do corpus é o comunicado da ASA sobre p-valores (cap. 9), não a métrica.
RF135	korba2021adaptive	Anna Korba, François Portier	Adaptive Importance Sampling meets Mirror Descent: a Bias-variance tradeoff	2021	CREST, ENSAE, Institut Polytechnique de Paris, ENSAI	https://arxiv.org/abs/2110.15590	Ciência da Computação	Amostragem de Importância Adaptativa (AIS), Inferência Bayesiana, Tradeoff viés-variância, Divergência de Rényi	fora-de-escopo	Amostragem de importância adaptativa interpretada como mirror descent com divergência de Rényi é inferência bayesiana computacional sem capítulo no mapa; o trade-off viés-variância da adaptação já é objeto próprio do livro nas janelas (caps. 14 e 20), medido pela casa — não via esta fonte.
RF137	jsang2009fission	Audun Jøsang	Fission of Opinions in Subjective Logic	2009	University of Oslo - UNIK Graduate Center	http://fusion.isif.org/proceedings/fusion09CD/data/papers/0412.pdf	Probabilidade e Estatística	Lógica Subjetiva, Fusão de opiniões, Fusão cumulativa, Redes de confiança	redundante	Mesmo programa de lógica subjetiva de jsang2007cumulative, já citado para fusão de opiniões: a fissão é o operador inverso da fusão acumulativa, e nenhum degrau do §4 faz afirmação que exija partir opiniões de volta (a partição do cap. 6 é de células do dado, não de opiniões). Redes de confiança, o campo de aplicação da fissão, o mapa não toca.
RF140	du2025understanding	Ke-Lin Du, Rengong Zhang, Bingchun Jiang, Jie Zeng, Jiabin Lu	Understanding Machine Learning Principles: Learning, Inference, Generalization, and Computational Learning Theory	2025	Guangdong University of Science and Technology, Zhejiang Yugong Information Technology Co., Ltd., Shenzhen Feng Xing Tai Bao Technology Co., Ltd., Guangdong University of Technology.	https://doi.org/10.3390/math13030451	Ciência da Computação	Aprendizado de máquina, redes neurais, generalização, teoria do aprendizado computacional, aprendizado PAC, dimensão VC, complexidade de Rademacher, princípio d	fora-de-escopo	Texto de segunda mão sem afirmação própria mensurável; os tetos de aprendizado do mapa são medidos em laboratório próprio (esboços/contadores/bits no cap. 32, posto/readout no cap. 29) — a fonte primária dessa família, se entrar, é vapnik1971uniform (RF203, mesmo lote).
RF141	freriks1992adaptive	L. W. Freriks, P. J. M. Cluitmans, M. J. van Gils	The Adaptive Resonance Theory network : (clustering- )behaviour in relation with Brainstem Auditory Evoked Potential patterns	1992	Eindhoven University of Technology (TU/e)	https://research.tue.nl/en/publications/the-adaptive-resonance-theory-network-clustering-behaviour-in-rel	Ciência da Computação	Teoria da Ressonância Adaptativa (ART), redes neurais artificiais, aprendizado competitivo, dilema estabilidade-plasticidade, reconhecimento de padrões	fora-de-escopo	Estudo de aplicação da ART a potenciais evocados auditivos do tronco encefálico: reconhecimento de padrões em sinal clínico, sem contato com qualquer medida do mapa.
RF149	mccann1995existence	R. J. McCann	Existence and uniqueness of monotone measure-preserving maps	1995	Duke Mathematical Journal, 80(2):307--324, 1995	https://doi.org/10.1215/S0012-7094-95-08013-2	Matemática	Transporte otimo, mapas monotonicos, dualidade de Kantorovich	redundante	Existência e unicidade do mapa monotônico com dualidade de Kantorovich são a infraestrutura da geometria de Wasserstein que o livro já carrega via wasserstein2016statement para comparar leis (cap. 15); dúvida declarada: o teorema do mapa vai além da métrica nua, mas nenhum degrau usa o mapa de transporte em si — na dúvida entre expande e redundante, redundante.
RF151	ambrosio2008gradient	L. Ambrosio, N. Gigli, and G. Savaré	Gradient Flows: in Metric Spaces and in the Space of Probability Measures	2008	Birkhäuser, 2008	https://doi.org/10.1007/978-3-7643-8722-8	Matemática	Transporte otimo, geometria de Wasserstein, convexidade por deslocamento	fora-de-escopo	A referência maior de fluxos gradiente em espaços métricos e no espaço de medidas (convexidade por deslocamento, JKO) — obra de qualidade inquestionável, mas o objeto que carrega não existe no mapa: nenhum dos 33 degraus mede evolução de lei como fluxo. Par natural do RF102, e a ausência é a mesma.
RF155	hazan2007logarithmic	E. Hazan, A. Agarwal, and S. Kale	Logarithmic regret algorithms for online convex optimization	2007	Machine Learning, 69:169--192, 2007	https://doi.org/10.1007/s10994-007-5016-8	Ciência da Computação	Otimizacao convexa online, arrependimento, gradiente descendente online	fora-de-escopo	Otimização convexa online com arrependimento logarítmico: nenhum degrau trata arrependimento ou OCO; os orçamentos do mapa (alarme nos caps. 4–5, dias de experimento no cap. 16, capital no cap. 28) são medidos pelos instrumentos da casa.
RF157	villani2009optimal	C. Villani	Optimal Transport: Old and New	2009	Springer Science \& Business Media, volume 338, 2009	https://doi.org/10.1007/978-3-540-71050-9	Matemática	Transporte otimo, metricas de Wasserstein, geometria de Kantorovich	fora-de-escopo	Transporte ótimo e métricas de Wasserstein não aparecem em nenhum degrau do §4 nem em prosa de capítulo algum (busca feita); a única chave 'wasserstein' já citada é wasserstein2016statement — a declaração da ASA sobre p-valores, autor e objeto diferentes. Monografia de referência sem afirmação que um capítulo existente peça.
RF159	wang2016stein	Q. Liu and D. Wang	Stein variational gradient descent: A general purpose Bayesian inference algorithm	2016	In Advances in Neural Information Processing Systems, volume 29, pages 2378--2386, 2016	https://arxiv.org/abs/1608.04471	Matemática	SVGD, kernel em RKHS, inferencia variacional deterministica	fora-de-escopo	SVGD é algoritmo de inferência variacional determinística (partículas, kernel em RKHS, discrepância de Stein) para aproximar posteriores: o mapa não tem capítulo de aproximação de posteriores — a reconstrução do cap. 25 é por esperança condicional. As geometrias de comparação do livro já têm portadores citados (wasserstein2016statement, szekely2007measuring, ansari2021sklar); a discrepância de Stein entraria como terceira geometria sem capítulo que a meça.
RF160	jordan1998variational	R. Jordan, D. Kinderlehrer, and F. Otto	The variational formulation of the Fokker--Planck equation	1998	SIAM Journal on Mathematical Analysis, 29(1):1--17, 1998	https://doi.org/10.1137/S0036141096303359	Matemática	Esquema JKO, fluxo de gradiente em Wasserstein, entropia	fora-de-escopo	Nenhum degrau do §4 recebe Fokker–Planck ou fluxo em Wasserstein — nenhuma ocorrência de 'Wasserstein', 'Fokker' ou 'JKO' em todo o livro (grep zero); é a técnica do projeto anterior, e o contrato declara que .old não é roteiro (§2, §10).
RF164	prigogine1977time	I. Prigogine	Time, Structure and Fluctuations	1977	Nobel Lecture, Premio Nobel de Quimica	https://www.nobelprize.org/prizes/chemistry/1977/prigogine/lecture/	Filosofia	Irreversibilidade construtiva; estruturas dissipativas; seta do tempo; flutuacoes	redundante	A seta do tempo e a irreversibilidade já estão no livro, e medidas: roldan2017statistics (a seta estatística), landauer1961irreversibilidade e gallavotti1995dynamical cobrem o que a palestra narra; e a palestra Nobel é panorâmica, sem procedimento de medição que o cap. 21 ainda não tenha. Dúvida entre redundante e baixo-valor — fico com redundante porque o conteúdo tem dono citado.
RF167	benettin1980lyapunov	G. Benettin, L. Galgani, A. Giorgilli, J.-M. Strelcyn	Lyapunov characteristic exponents for smooth dynamical systems and for Hamiltonian systems - a method for computing all of them	1980	Meccanica, 15(1):9--20, 1980	https://doi.org/10.1007/BF02128236	Matemática	Expoentes de Lyapunov; algoritmo QR; reortonormalizacao por Gram-Schmidt; sistemas Hamiltonianos	fora-de-escopo	Expoentes de Lyapunov por QR/Gram-Schmidt caracterizam divergência de trajetórias em sistemas dinâmicos deterministas; a direção do tempo no livro é medida estatística de irreversibilidade sobre processos estocásticos (roldan2017statistics, produção de entropia) — nenhum capítulo mede caos ou divergência de trajetórias.
RF168	trefethen2005spectra	L. N. Trefethen, M. Embree	Spectra and Pseudospectra: The Behavior of Nonnormal Matrices and Operators	2005	Princeton University Press, 2005	https://doi.org/10.1515/9781400830473	Matemática	Nao-normalidade; pseudoespectro; crescimento transiente; sensibilidade espectral	redundante	A afirmação central que a fonte carrega — o autovalor mente sobre o transiente não-normal; a influência é a norma da potência e cresce antes de cair — já está medida e citada no cap. 25 (família M(c), pico por acoplamento) via trefethen1993hydrodynamic e henrici1962bounds; o livro de 2005 é o tratamento integral do mesmo conhecimento pelos mesmos autores. Dúvida declarada: o objeto ε-pseudoespectro não aparece no livro (zero menções nos 33 capítulos), mas introduzi-lo seria instrumento novo sem fracasso de capítulo que o exigisse.
RF169	horn2013matrix	R. A. Horn, C. R. Johnson	Matrix Analysis	2013	Cambridge University Press, 2a edicao, 2013	https://doi.org/10.1017/CBO9781139020411	Matemática	Valores singulares; desigualdades matriciais; lema do determinante; perturbacoes de posto um	fora-de-escopo	Obra de referência de álgebra linear (valores singulares, lema do determinante, perturbações de posto um) sem afirmação medível para o mapa: nenhum degrau nomeia valores singulares ou perturbação de posto; o contato espectral do livro (não-normalidade) já vive em trefethen1993hydrodynamic.
RF170	lee2019first	J. D. Lee, I. Panageas, G. Piliouras, M. Simchowitz, M. I. Jordan, B. Recht	First-order methods almost always avoid strict saddle points	2019	Mathematical Programming, 176(1-2):311--337, 2019	https://doi.org/10.1007/s10107-019-01374-3	Matemática	Pontos de sela estritos; descida de gradiente; paisagens nao convexas; medida das inicializacoes	fora-de-escopo	Teoria de otimização de primeira ordem (descida de gradiente evita selas estritas com probabilidade 1): otimização numérica pura sem contacto com a medida do livro. O livro escolhe janelas, esquecimentos e orçamentos medindo desenhos no laboratório, não por paisagem de gradiente; o 'ponto fixo' do cap. 16 é da recursão da oscilação, não de otimização.
RF171	higham2002accuracy	N. J. Higham	Accuracy and Stability of Numerical Algorithms	2002	SIAM, 2a edicao, 2002	https://doi.org/10.1137/1.9780898718027	Matemática	Erro regressivo; numero de condicao; estabilidade numerica	fora-de-escopo	Erro regressivo, número de condição e estabilidade de algoritmos numéricos (LU/QR, arredondamento) não são medida de nenhum degrau: o 'condicionamento' do livro (cap. 11) é estatístico, outro sentido da palavra, e a única menção a arredondamento (cap. 2) é observação de exatidão da conta do preço. O contato do livro com perturbação matricial entra via trefethen1993hydrodynamic e henrici1962bounds no cap. 25. Obra sólida (SIAM), mas de outra matéria.
RF173	ghosh2026normal	S. Ghosh	Non-normal spectral signatures of instability in neural network training dynamics	2026	arXiv:2605.23476	https://arxiv.org/abs/2605.23476	Matemática	Nao-normalidade; operadores de atualizacao; Adam e momento; ponto excepcional; instabilidade de treino	fora-de-escopo	Assinaturas espectrais não-normais de instabilidade no treino de redes (Adam/momento, ponto excepcional): dinâmica de otimizadores não está em degrau nenhum do §4, e o crescimento transiente de operadores que o livro usa já está ancorado no cap. 25 via trefethen1993hydrodynamic e henrici1962bounds; é ainda preprint de 2026 sem revisão.
RF175	leveque1984resolvent	R. J. Leveque, L. N. Trefethen	On the resolvent condition in the Kreiss Matrix Theorem	1984	BIT Numerical Mathematics, 24(5):584--591, 1984	https://doi.org/10.1007/BF01934916	Matemática	Constante de Kreiss; condicao do resolvente; matrizes nao-normais; limitacao de potencias	redundante	O conhecimento — limitação de potências de matrizes não-normais e transiente além do espectro — já está no livro via trefethen1993hydrodynamic, citado, que cobre o transiente não-normal que a recursão da oscilação (cap. 16) usa. O teorema de Kreiss/condição do resolvente é a mesma afirmação na forma do teorema, sem medida nova que o livro faça.
RF176	bauer1960norms	F. L. Bauer, C. T. Fike	Norms and exclusion theorems	1960	Numerische Mathematik, 2(1):137--141, 1960	https://doi.org/10.1007/BF01386217	Matemática	Perturbacao de autovalores; teorema de exclusao; numero de condicao do autovetor; angulo esquerdo-direito	redundante	A família de limites de perturbação espectral por não-normalidade já entra no cap. 25 via henrici1962bounds (linha 175, junto com trefethen1993hydrodynamic), que mede exatamente a cegueira do critério do autovalor fora do caso normal; Bauer–Fike cobre a mesma família sem afirmação nova — e na dúvida, redundante.
RF179	polyak1964some	B. T. Polyak	Some methods of speeding up the convergence of iteration methods	1964	USSR Computational Mathematics and Mathematical Physics, 4(5):1--17, 1964	https://doi.org/10.1016/0041-5553(64)90137-5	Matemática	Metodo do momento; inercia; aceleracao de convergencia; recursao de dois passos	fora-de-escopo	Método do momento e inércia para acelerar a convergência de iterações: otimização numérica pura, sem contato com a medida do livro. O amortecimento que o livro mede (D1) é do ciclo de recalibragem sobre dado real, não do solver.
RF180	golub2013matrix	G. H. Golub, C. F. Van Loan	Matrix Computations	2013	Johns Hopkins University Press, 4a edicao, 2013	https://doi.org/10.56021/9781421407944	Matemática	Forma de Jordan; matrizes defeituosas; valores singulares; metodo da potencia; perturbacao de autovalores	redundante	Os fatos de álgebra linear de que o livro precisa (autovalores de matrizes defeituosas, perturbação, pseudoespectro, posto) já entram via trefethen1993hydrodynamic e via construção própria; Golub–Van Loan é obra de referência computacional (QR, SVD, método da potência, erro inverso) — instrumento sem afirmação mensurável nova. Na dúvida entre expande e redundante, fica redundante: serviria como segunda citação para o posto do cap. 29.
RF181	higham2008functions	N. J. Higham	Functions of Matrices: Theory and Computation	2008	SIAM, Philadelphia, 2008	https://doi.org/10.1137/1.9780898717778	Matemática	Funcoes de matriz; potencias do bloco de Jordan; condicionamento; derivada de Frechet; valores singulares	redundante	O que o livro usa de funções de matriz — iteradas de não-normais no pico do operador do cap. 25 — já entra via henrici1962bounds ('Bounds for iterates... of non-normal matrices', confirmado na âncora) e trefethen1993hydrodynamic; o que é próprio de Higham (derivada de Fréchet, condicionamento de funções de matriz) não é objeto de capítulo nenhum — na dúvida, redundante.
RF182	ipsen1997computing	I. C. F. Ipsen	Computing an eigenvector with inverse iteration	1997	SIAM Review, 39(2):254--291, 1997	https://doi.org/10.1137/S0036144596300773	Matemática	Iteracao inversa; autovalor defeituoso; convergencia polinomial; perturbacao do autovetor; condicionamento	redundante	O cap. 25 já constrói e mede a família defeituosa (mesmo autovalor 0,9, acoplamento c crescente) por forma fechada e norma da potência, com trefethen1993hydrodynamic/henrici1962bounds na mesma página; o conteúdo próprio de Ipsen — iteração inversa como algoritmo e a convergência/condicionamento do autovetor — não toca medição do livro (zero menções a autovetor ou iteração inversa nos capítulos). Dúvida declarada: a sensibilidade de ordem ε^(1/2) do autovetor seria afirmação nova, mas nenhum capítulo calcula autovetor nem a exigiria.
RF183	goldhirsch1987stability	I. Goldhirsch, P.-L. Sulem, S. A. Orszag	Stability and Lyapunov stability of dynamical systems: a differential approach and a numerical method	1987	Physica D: Nonlinear Phenomena, 27(3):311--337, 1987	https://doi.org/10.1016/0167-2789(87)90034-0	Matemática	Expoentes de Lyapunov; estabilidade; crescimento transiente; equacao de Jacobi; reortonormalizacao	redundante	O que o livro usaria — crescimento transitório que os autovalores não prometem, na esteira da recursão da oscilação e do ponto fixo (cap. 16) — é exatamente o conteúdo já carregado por trefethen1993hydrodynamic (estabilidade sem autovalores); o restante da fonte é método numérico de espectro de Lyapunov sem capítulo que o meça. Dúvida declarada: se o cap. 16 medisse espectro de Lyapunov, expandiria — na dúvida, redundante.
RF184	pikovsky2016lyapunov	A. Pikovsky, A. Politi	Lyapunov Exponents: A Tool to Explore Complex Dynamics	2016	Cambridge University Press, 2016	https://doi.org/10.1017/CBO9781139343473	Matemática	Expoentes de Lyapunov; estimativa em horizonte finito; vetores de Lyapunov; flutuacoes; taxa de convergencia	fora-de-escopo	Caixa de ferramentas de caos determinístico (expoentes e vetores de Lyapunov, flutuações em horizonte finito). Nenhum degrau mede divergência de trajetórias ou sensibilidade à condição inicial; a seta do tempo do livro é estatística (roldan2017statistics, gallavotti1995dynamical), e o único contacto próximo — desaceleração crítica como alerta precoce — já está no livro via scheffer2009early e dakos2012methods, que o B2 declara como referência a bater.
RF186	kato1995perturbation	T. Kato	Perturbation Theory for Linear Operators	1995	Springer, Classics in Mathematics, 1995	https://doi.org/10.1007/978-3-642-66282-9	Matemática	Teoria de perturbacao; series de Puiseux; autovalores multiplos; perturbacao analitica; operadores lineares	fora-de-escopo	Teoria de perturbação de operadores lineares (séries de Puiseux, autovalores múltiplos): nenhum degrau trata perturbação espectral — o conteúdo de operadores do livro é o pico transitório das potências, no cap. 25, já ancorado por trefethen1993hydrodynamic e henrici1962bounds; tratado clássico, sem afirmação nova medível.
